Periodo;Receita_Total;Receita_Variacao_Pct;Ticket_Medio;Num_Transacoes;Score_Saude_Financeira;Recomendacao_Estrategica;Margem_Liquida_Pct;YTD_Receita_Atual;YTD_Variacao_Pct;Projecao_Anual;Confiabilidade_Projecao;Tendencia_Crescimento;Classificacao_Tendencia;Indice_Sazonal;Data_Inicio_Periodo;Data_Fim_Periodo;Quantidade_sum;Produtos_Vendidos;Clientes_Ativos;Grupo_Produto_<lambda>;Receita_Media_Diaria;Receita_Por_Cliente;Transacoes_Por_Cliente;Transacoes_Variacao_Pct;Ticket_Variacao_Pct;YTD_Receita_Anterior;Margem_Bruta_Estimada;Margem_Bruta_Pct;Margem_Real_Pct;Impacto_Desconto_Pct;Margem_Liquida_Final_Pct;Margem_Liquida_Final;Custo_Operacional_Estimado;ROI_Periodo_Pct;Classificacao_Sazonal;Correlacao_Preco_Volume;Projecao_30d_Conservador;Projecao_60d_Conservador;Projecao_90d_Conservador;Projecao_30d_Realista;Projecao_60d_Realista;Projecao_90d_Realista;Projecao_30d_Otimista;Projecao_60d_Otimista;Projecao_90d_Otimista;Confiabilidade_Modelo_Pct;Categoria_Top_Performance;Receita_Top_Categoria;Oportunidade_Margem;Eficiencia_Operacional;ROAS_Estimado;CAC_Estimado;LTV_CAC_Ratio;Performance_Online_Pct;Performance_Presencial_Pct;Prioridade_Acao;Score_Crescimento;Score_Margem;Score_Eficiencia;Score_Estabilidade;Score_Oportunidade
2025-04;334407.07;;361.1307451403888;926;;Manutencao_Performance;40.4;2118292.8099999996;0.0;5295732.02;Baixa;1449478.6699999997;Crescimento_Forte;0.841;2025-04-28;2025-04-30;7623;276;150;ALIANCA PRATA;11146.902333333333;2229.38;6.17;;;0.0;208670.01;62.4;62.4;22.0;18.7;62534.12;271872.95;23.0;Vale_Moderado;-0.72;1008307.38;2016614.76;3024922.13;994538.47;1989076.95;2983615.42;1091008.71;2182017.41;3273026.12;93.0;ALIANCA PRATA;928501.58;105914.64;361.13;4.8;320;77.65625;61;39;4;50.0;100.0;81.1;;100.0
2025-05;1783885.74;433.45;445.3034797803295;4006;65.0;Expansao_Agressiva;40.4;2118292.8099999996;0.0;5295732.02;Baixa;1449478.6699999997;Crescimento_Forte;1.037;2025-05-02;2025-05-26;35756;568;505;ALIANCA PRATA;59462.858;3532.45;7.93;332.61;23.31;0.0;1113144.7;62.4;62.4;22.0;18.7;333586.63;1450299.11;23.0;Normal;-0.72;1008307.38;2016614.76;3024922.13;994538.47;1989076.95;2983615.42;1091008.71;2182017.41;3273026.12;93.0;ALIANCA PRATA;928501.58;105914.64;445.3;4.8;320;77.65625;61;39;4;50.0;100.0;100.0;0.0;59.4
