2025-05-27 15:25:31 |     INFO | FLOW | setup_flow_logging:68 | 🚀 INSIGHTS-AI FLOW - LOGGING INICIADO
2025-05-27 15:25:31 |     INFO | FLOW | setup_flow_logging:69 | 📁 Arquivo de log: logs\flow_executions\flow_execution_20250527_152531.log
2025-05-27 15:25:31 |     INFO | FLOW | __init__:174 | 🔧 Inicializando InsightsFlow...
2025-05-27 15:25:31 |     INFO | FLOW | criar_flow_com_parametros:504 | 🏗️ Flow criado: 2025-05-20 a 2025-05-27 (modo: completo)
2025-05-27 15:25:31 |     INFO | FLOW | inicializar_flow:184 | 🚀 INICIANDO INSIGHTS-AI FLOW
2025-05-27 15:25:31 |     INFO | FLOW | inicializar_flow:185 | ============================================================
2025-05-27 15:25:31 |     INFO | FLOW | inicializar_flow:201 | ✅ Datas validadas: 2025-05-20 a 2025-05-27
2025-05-27 15:25:31 |     INFO | FLOW | inicializar_flow:209 | 📅 Período de análise: 2025-05-20 até 2025-05-27
2025-05-27 15:25:31 |     INFO | FLOW | inicializar_flow:210 | 🔧 Modo de execução: completo
2025-05-27 15:25:31 |     INFO | FLOW | inicializar_flow:211 | 🆔 Flow ID: flow_20250527_152531
2025-05-27 15:25:31 |     INFO | FLOW | inicializar_flow:216 | ✅ Inicialização concluída - Preparando extração de dados
2025-05-27 15:25:31 |     INFO | FLOW | extrair_e_processar_dados:225 | 🔧 INICIANDO EXTRAÇÃO DE DADOS
2025-05-27 15:25:31 |     INFO | FLOW | extrair_e_processar_dados:226 | ----------------------------------------
2025-05-27 15:25:31 |     INFO | FLOW | extrair_e_processar_dados:243 | 🏗️ Criando crew do Engenheiro de Dados...
2025-05-27 15:25:31 |     INFO | FLOW | extrair_e_processar_dados:255 | 📊 Executando extração com inputs: {'data_inicio': '2025-05-20', 'data_fim': '2025-05-27'}
2025-05-27 15:26:54 |     INFO | FLOW | extrair_e_processar_dados:291 | ✅ EXTRAÇÃO CONCLUÍDA em 83.03s
2025-05-27 15:26:54 |     INFO | FLOW | extrair_e_processar_dados:292 | 📊 Qualidade dos dados: 88.0/100
2025-05-27 15:26:54 |     INFO | FLOW | extrair_e_processar_dados:293 | 📁 Total de registros: 25000
2025-05-27 15:26:54 |     INFO | FLOW | validar_resultado_extracao:320 | 🔍 Validando resultado da extração...
2025-05-27 15:26:54 |     INFO | FLOW | validar_resultado_extracao:325 | ✅ Dados com qualidade adequada - Prosseguindo com análises
2025-05-27 15:26:54 |     INFO | FLOW | preparar_analises_paralelas:401 | 🚀 PREPARANDO ANÁLISES PARALELAS
2025-05-27 15:26:54 |     INFO | FLOW | preparar_analises_paralelas:402 | ----------------------------------------
2025-05-27 15:26:54 |     INFO | FLOW | preparar_analises_paralelas:420 | 📊 Análises habilitadas: 6
2025-05-27 15:26:54 |     INFO | FLOW | preparar_analises_paralelas:422 |    ✅ Analise Tendencias
2025-05-27 15:26:54 |     INFO | FLOW | preparar_analises_paralelas:422 |    ✅ Analise Sazonalidade
2025-05-27 15:26:54 |     INFO | FLOW | preparar_analises_paralelas:422 |    ✅ Analise Segmentos
2025-05-27 15:26:54 |     INFO | FLOW | preparar_analises_paralelas:422 |    ✅ Analise Inventario
2025-05-27 15:26:54 |     INFO | FLOW | preparar_analises_paralelas:422 |    ✅ Analise Financeira
2025-05-27 15:26:54 |     INFO | FLOW | preparar_analises_paralelas:422 |    ✅ Analise Clientes
