Periodo;Receita_Total;Receita_Variacao_Pct;YoY_Receita_Growth_Pct;Ticket_Medio;Num_Transacoes;Score_Saude_Financeira;Recomendacao_Estrategica;Margem_Liquida_Pct;Receita_Periodo_Atual;Receita_Periodo_Anterior;Projecao_Anual;Confiabilidade_Comparacao;Tendencia_Crescimento;Classificacao_Tendencia;Indice_Sazonal;Data_Inicio_Periodo;Data_Fim_Periodo;Quantidade_sum;Produtos_Vendidos;Clientes_Ativos;Grupo_Produto_<lambda>;Receita_Media_Diaria;Receita_Por_Cliente;Transacoes_Por_Cliente;Transacoes_Variacao_Pct;Ticket_Variacao_Pct;YoY_Transacoes_Growth_Pct;YoY_Ticket_Growth_Pct;Periodo_Analisado;Dias_No_Periodo;Margem_Bruta_Estimada;Margem_Bruta_Pct;Margem_Real_Pct;Impacto_Desconto_Pct;Margem_Liquida_Final_Pct;Margem_Liquida_Final;Custo_Operacional_Estimado;ROI_Periodo_Pct;Classificacao_Sazonal;Correlacao_Preco_Volume;Projecao_30d_Conservador;Projecao_60d_Conservador;Projecao_90d_Conservador;Projecao_30d_Realista;Projecao_60d_Realista;Projecao_90d_Realista;Projecao_30d_Otimista;Projecao_60d_Otimista;Projecao_90d_Otimista;Confiabilidade_Modelo_Pct;Categoria_Top_Performance;Receita_Top_Categoria;Oportunidade_Margem;Eficiencia_Operacional;ROAS_Estimado;CAC_Estimado;LTV_CAC_Ratio;Performance_Online_Pct;Performance_Presencial_Pct;Prioridade_Acao;Score_Crescimento;Score_Margem;Score_Eficiencia;Score_Estabilidade;Score_Oportunidade;Periodo_Info_type;Periodo_Info_start_date;Periodo_Info_end_date;Periodo_Info_year;Periodo_Info_days_count
2025-01;632424.99;;39.42;221.98139347139346;2849;;Manutencao_Performance;40.4;8629315.8;6189562.85;21138927.97;Alta;356002.7689999999;Crescimento_Forte;0.681;2025-01-06;2025-01-31;12549;472;362;ALIANCA PRATA;21080.833;1747.03;7.87;;;-1.01;40.83;Ano atual 2025 (até 2025-05-29);149;394633.19;62.4;62.4;22.0;18.7;118263.47;514161.52;23.0;Vale_Alto;-0.72;2847965.37;4562487.05;7057792.79;2997858.29;4802617.94;7429255.57;3297644.11;5282879.74;8172181.12;95.0;ALIANCA PRATA;2912647.36;431465.79;221.98;4.8;320;77.65625;61;39;4;;100.0;39.6;;100.0;current_year;2025-01-01;2025-05-29;2025;149
2025-02;1533687.74;142.51;39.42;431.1745122294068;3557;75.4;Expansao_Agressiva;40.4;8629315.8;6189562.85;21138927.97;Alta;356002.7689999999;Crescimento_Forte;0.977;2025-02-03;2025-02-28;23342;560;441;ALIANCA PRATA;51122.924666666666;3477.75;8.07;24.85;94.24;-1.01;40.83;Ano atual 2025 (até 2025-05-29);149;957021.15;62.4;62.4;22.0;18.7;286799.61;1246888.13;23.0;Normal;-0.72;2847965.37;4562487.05;7057792.79;2997858.29;4802617.94;7429255.57;3297644.11;5282879.74;8172181.12;95.0;ALIANCA PRATA;2912647.36;431465.79;431.17;4.8;320;77.65625;61;39;4;100.0;100.0;77.0;0.0;100.0;current_year;2025-01-01;2025-05-29;2025;149
2025-03;2389221.11;55.78;39.42;560.061207219878;4266;73.3;Expansao_Agressiva;40.4;8629315.8;6189562.85;21138927.97;Alta;356002.7689999999;Crescimento_Forte;1.131;2025-03-05;2025-03-31;27478;564;487;ALIANCA PRATA;79640.70366666667;4906.0;8.76;19.93;29.89;-1.01;40.83;Ano atual 2025 (até 2025-05-29);149;1490873.97;62.4;62.4;22.0;18.7;446784.35;1942436.76;23.0;Pico_Moderado;-0.72;2847965.37;4562487.05;7057792.79;2997858.29;4802617.94;7429255.57;3297644.11;5282879.74;8172181.12;95.0;ALIANCA PRATA;2912647.36;431465.79;560.06;4.8;320;77.65625;61;39;4;48.3;100.0;100.0;44.2;100.0;current_year;2025-01-01;2025-05-29;2025;149
2025-04;1789398.51;-25.11;39.42;422.82573487712665;4232;60.1;Otimizacao_Urgente;40.4;8629315.8;6189562.85;21138927.97;Alta;356002.7689999999;Crescimento_Forte;1.067;2025-04-01;2025-04-30;29009;551;488;ALIANCA PRATA;59646.617;3666.8;8.67;-0.8;-24.5;-1.01;40.83;Ano atual 2025 (até 2025-05-29);149;1116584.67;62.4;62.4;22.0;18.7;334617.52;1454780.99;23.0;Normal;-0.72;2847965.37;4562487.05;7057792.79;2997858.29;4802617.94;7429255.57;3297644.11;5282879.74;8172181.12;95.0;ALIANCA PRATA;2912647.36;431465.79;422.83;4.8;320;77.65625;61;39;1;0.0;100.0;75.5;74.9;100.0;current_year;2025-01-01;2025-05-29;2025;149
2025-05;2284583.45;27.67;39.42;460.6015020161291;4960;70.4;Expansao_Agressiva;40.4;8629315.8;6189562.85;21138927.97;Alta;356002.7689999999;Crescimento_Forte;1.123;2025-05-02;2025-05-29;45719;612;584;ALIANCA PRATA;76152.78166666668;3911.96;8.49;17.2;8.93;-1.01;40.83;Ano atual 2025 (até 2025-05-29);149;1425580.07;62.4;62.4;22.0;18.7;427217.11;1857366.34;23.0;Pico_Moderado;-0.72;2847965.37;4562487.05;7057792.79;2997858.29;4802617.94;7429255.57;3297644.11;5282879.74;8172181.12;95.0;ALIANCA PRATA;2912647.36;431465.79;460.6;4.8;320;77.65625;61;39;4;31.5;100.0;82.2;72.3;100.0;current_year;2025-01-01;2025-05-29;2025;149
